﻿Kode Perusahaan;Nama Perusahaan;Tanggal Pencatatan
IOTF;PT Sumber Sinergi Makmur Tbk;06/10/2023
IPAC;PT Era Graharealty Tbk;30/06/2021
IPCC;PT Indonesia Kendaraan Terminal Tbk.;09/07/2018
IPCM;PT Jasa Armada Indonesia Tbk.;22/12/2017
IPOL;Indopoly Swakarsa Industry Tbk;09/07/2010
IPPE;PT Indo Pureco Pratama Tbk;09/12/2021
IPTV;PT MNC Vision Networks Tbk.;08/07/2019
IRRA;PT Itama Ranoraya Tbk.;15/10/2019
IRSX;PT Aviana Sinar Abadi Tbk;07/02/2023
ISAP;PT Isra Presisi Indonesia Tbk;09/12/2022
ISAT;PT Indosat Tbk;19/10/1994
ISEA;PT Indo American Seafoods Tbk;08/07/2024
ISSP;PT Steel Pipe Industry of Indonesia Tbk;22/02/2013
ITIC;PT Indonesian Tobacco Tbk.;04/07/2019
ITMA;SUMBER ENERGI ANDALAN Tbk;10/12/1990
ITMG;Indo Tambangraya Megah Tbk;18/12/2007
JARR;PT Jhonlin Agro Raya Tbk;04/08/2022
JAST;PT Jasnita Telekomindo Tbk.;16/05/2019
JATI;PT Informasi Teknologi Indonesia Tbk.;08/05/2023
JAWA;Jaya Agra Wattie Tbk;30/05/2011
JAYA;PT Armada Berjaya Trans Tbk.;21/02/2019
JECC;Jembo Cable Company Tbk;18/11/1992
JGLE;PT Graha Andrasentra Propertindo Tbk.;29/06/2016
JIHD;Jakarta International Hotels & Development Tbk;29/02/1984
JKON;Jaya Konstruksi Manggala Pratama Tbk;04/12/2007
JMAS;PT Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk;18/12/2017
JPFA;JAPFA Comfeed Indonesia Tbk;23/10/1989
JRPT;Jaya Real Property Tbk;29/06/1994
JSKY;PT Sky Energy Indonesia Tbk.;28/03/2018
JSMR;PT Jasa Marga Tbk;12/11/2007
JSPT;Jakarta Setiabudi Internasional Tbk;12/01/1998
JTPE;Jasuindo Tiga Perkasa Tbk;16/04/2002
KAEF;Kimia Farma Tbk.;04/07/2001
KAQI;PT Jantra Grupo Indonesia Tbk;10/03/2025
KARW;Meratus Jasa Prima Tbk;20/12/1994
KAYU;PT Darmi Bersaudara Tbk.;04/07/2019
KBAG;PT Karya Bersama Anugerah Tbk;08/04/2020
KBLI;KMI Wire and Cable Tbk;06/07/1992
KBLM;Kabelindo Murni Tbk;01/06/1992
KBLV;First Media Tbk;25/02/2000
KBRI;Kertas Basuki Rachmat Indonesia Tbk;11/07/2008
KDSI;Kedawung Setia Industrial Tbk;29/07/1996
KDTN;PT Puri Sentul Permai Tbk;09/11/2022
